,,,,,,
Location,General District Court,Position,juvenile domestic court (JDR),Position, Circuit Court  https://www.vacourts.gov/courts/circuit.html,Position
Botetourt,Hon. William Harrison Cleaveland,"Presiding Judge, Chief Judge",Hon. Paul A. Tucker,Presiding Judge,Hon. William Chapman Goodwin,Chief Judge
,Hon. Christopher M. Billias,,Hon. Correy R. Smith,Chief Judge,Hon. Joel R. Branscom,
,Hon. Robin J. Mayer,,Hon. Robert C. Hagan Jr.,,Hon. Paul A. Dryer,
,Hon. Rupen R. Shah,,Hon. Linda Schorsch Jones,,Hon. Anne M. Reed,
,,,Hon. Susan B. Read,,Hon. Christopher B. Russell,
,,,,,Hon. Edward K. Stein,
Bristol ,Hon. Eric R. Thiessen,Chief Judge,Hon. Joseph B. Lyle,"Presiding Judge, Chief Judge",Hon. Sage B. Johnson,Presiding Judge
,Hon. Robert L. Hobbs,,Hon. Richard S. Buddington Jr.,,Hon. Deanis L. Simmons,Chief Judge
,Hon. Travis B. Lee,,Hon. Florence A. Powell,,Hon. Charles Randall Lowe,
,,,,,Hon. Fredrick A. Rowlett,
Brunswick ,Hon. Churchill Ridley Bain,Presiding Judge,Hon. Christopher B. Ackerman,Presiding Judge,Hon. William Allan Sharrett,Presiding Judge
,Hon. Bruce A. Clark Jr.,Chief Judge,Hon. Wallace W. Brittle Jr.,Presiding Judge,Hon. William Edward Tomko III,Chief Judge
,Hon. Elbert D. Mumphery,,Hon. Jacqueline R. Waymack,Chief Judge,Hon. Carson E. Saunders Jr.,
,Hon. Lyndia P. Ramsey,,,,,
,Hon. Harold Lee Townsend III,,,,,
Buchanan ,Hon. George Robert Brittain,Chief Judge,Hon. Laura F. Robinson,Chief Judge,Hon. Patrick R. Johnson,Presiding Judge
,Hon. Henry A. Barringer,,Hon. Michael J. Bush,,Hon. Brian K. Patton,Chief Judge
,,,Hon. Martha P. Ketron,,Hon. Jack S. Hurley Jr.,
,,,,,Hon. Michael Lee Moore,
,,,,,Hon. Richard C. Patterson,
Buckingham,Hon. Calvin S. Spencer Jr.,Chief Judge,Hon. Marvin H. Dunkum Jr.,"Presiding Judge, Chief Judge",Hon. Donald Carl Blessing,Presiding Judge
,Hon. Jody H. Fariss,,Hon. Nora J. Miller,,Hon. Kimberley S. White,Chief Judge
,Hon. Darrel W. Puckett,,Hon. Robert H. Morrison,,Hon. Stephen Anderson Nelson,
,,,,,Hon. James William Watson Jr.,
Buena Vista,Hon. Robin J. Mayer,Presiding Judge,Hon. Paul A. Tucker,Presiding Judge,Hon. William Chapman Goodwin,Chief Judge
,Hon. William Harrison Cleaveland,Chief Judge,Hon. Correy R. Smith,Chief Judge,Hon. Joel R. Branscom,
,Hon. Christopher M. Billias,,Hon. Robert C. Hagan Jr.,,Hon. Paul A. Dryer,
,Hon. Rupen R. Shah,,Hon. Linda Schorsch Jones,,Hon. Anne M. Reed,
,,,Hon. Susan B. Read,,Hon. Christopher B. Russell,
,,,,,Hon. Edward K. Stein,
Campbell ,Hon. Stephanie S. Maddox,Presiding Judge,Hon. Brooke Taylor Willse Gaddy,"Presiding Judge, Chief Judge",Hon. John T. Cook,Presiding Judge
,Hon. Sam Daniel Eggleston,Chief Judge,Hon. Jeffrey P. Bennett,,"Hon. Michael T. Garrett, Chief Judge",
,Hon. Randy C. Krantz,,Hon. Robert Louis Harrison Jr.,,Hon. Michael R. Doucette,
,,,Hon. Stephanie Mutter-Ayers,,Hon. James W. Updike Jr.,
,,,Hon. H. Cary Payne,,Hon. James F. Watson,
,,,Hon. Jennifer E. Stille,,Hon. Frank Patrick Yeatts,
Caroline ,Hon. Robert Eric Reibach,Presiding Judge,Hon. Frank G Uvanni,Presiding Judge,Hon. Sarah L. Deneke,Chief Judge
,Hon. John S. Martin,Chief Judge,Hon. Georgia K. Sutton,Chief Judge,Hon. William E. Glover,
,Hon. David B. Caddell Jr.,,Hon. John E. Franklin,,Hon. John Overton Harris,
,Hon. Hugh S. Campbell,,Hon. Shannon O. Hoehl,,Hon. Herbert M. Hewitt,
,Hon. Richard T. McGrath,,Hon. Julian W. Johnson,,Hon. Patricia Kelly,
,Hon. Angela M. O'Connor,,Hon. Marcel D. Jones,,Hon. Michael E. Levy,
,Hon. Jane M. Reynolds,,Hon. William L. Lewis,,Hon. Roy Michael McKenney,
,,,Hon. Andrea M. Stewart,,Hon. Ricardo Rigual,
,,,Hon. Joseph A. Vance IV,,Hon. James Bruce Strickland,
,,,,,Hon. Gordon F. Willis,
,,,,,Hon. Victoria A. B. Willis,
Carroll ,Hon. Gerald Eugene Mabe II,Presiding Judge,Hon. Stephanie Murray Shortt,Chief Judge,Hon. Brett L. Geisler,Presiding Judge
,Hon. Gino W. Williams,Chief Judge,Hon. Howard Lee Chitwood,,Hon. Bradley W. Finch,Chief Judge
,Hon. J. D. Bolt,,Hon. Monica D. Cox,,Hon. Kenneth M. Fleenor Jr.,
,Hon. Erin J. DeHart,,Hon. Bradley G Dalton,,Hon. Hugh Lee Harrell,
,Hon. Randal J. Duncan,,Hon. Robert C. Viar Jr.,,Hon. Josiah T. Showalter Jr.,
,,,,,Hon. Robert M. D. Turk,
Charles ,Hon. Colleen K. Killilea,Presiding Judge,Hon. Cressondra B. Conyers,"Presiding Judge, Chief Judge",Hon. Benjamin Elliott Bondurant,Presiding Judge
,Hon. Stephen Ashton Hudgins,Chief Judge,Hon. Wade A. Bowie,,Hon. Richard H. Rizk,Chief Judge
,Hon. Stephanie E. Merritt,,Hon. Mara M. Matthews,,Hon. Jeffrey W. Shaw,
,,,Hon. Brian J. Smalls,,Hon. Holly B. Smith,
Charlotte ,Hon. Calvin S. Spencer Jr.,"Presiding Judge, Chief Judge",Hon. Nora J. Miller,Presiding Judge,Hon. Kimberley S. White,Chief Judge
,Hon. Jody H. Fariss,,Hon. Marvin H. Dunkum Jr.,Chief Judge,Hon. Donald Carl Blessing,
,Hon. Darrel W. Puckett,,Hon. Robert H. Morrison,,Hon. Stephen Anderson Nelson,
,,,,,Hon. James William Watson Jr.,
Charlottesville,Hon. Kenneth Andrew Sneathern,Presiding Judge,Hon. Deborah S. Tinsley,Chief Judge,Hon. Richard E. Moore,Presiding Judge
,Hon. Claiborne H. Stokes Jr.,Chief Judge,Hon. David M Barredo,,Hon. Claude V. Worrell Jr.,Presiding Judge
,Hon. Theresa W. Carter,,Hon. Gilbert H. Berger,,Hon. Timothy K. Sanner,Chief Judge
,Hon. Matthew J. Quatrara,,Hon. Barbara G. Lowe,,Hon. Dale B. Durrer,
,,,Hon. Ronald L. Morris,,Hon. David B. Franzen,
,,,Hon. Frank W. Somerville,,Hon. Cheryl V. Higgins,
Chesapeake ,Hon. Erin L. Evans,Chief Judge,Hon. David J. Whitted,Chief Judge,Hon. John W. Brown,"Presiding Judge, Chief Judge"
,Hon. Linda L. Bryant,,Hon. Lori Beth Galbraith,,Hon. Marjorie T. Arrington,Presiding Judge
,Hon. Michael R. Katchmark,,Hon. Andrew D. Kubovcik,,Hon. Rufus A. Banks Jr.,Presiding Judge
,Hon. Tanya L. Lomax,,Hon. Larry D. Willis Sr.,,Hon. Robert G. MacDonald,Presiding Judge
,,,,,Hon. Stephen J. Telfeyan,Presiding Judge
Chesterfield ,Hon. Matthew Donald Nelson,"Presiding Judge, Chief Judge",Hon. Vanessa L Jones,"Presiding Judge, Chief Judge",Hon. Edward A. Robbins Jr.,"Presiding Judge, Chief Judge"
,Hon. Keith Nelson Hurley,Presiding Judge,Hon. Duane Gregory Carr,Presiding Judge,Hon. Lynn S. Brice,Presiding Judge
,Hon. James J. O'Connell III,Presiding Judge,Hon. Scott David Landry,Presiding Judge,Hon. David E. Johnson,Presiding Judge
,Hon. Thomas L. Vaughn,Presiding Judge,Hon. M. Duncan Minton Jr.,Presiding Judge,Hon. Steven C. McCallum,Presiding Judge
,,,Hon. J. David Rigler,Presiding Judge,Hon. Jayne Ann Pemberton,Presiding Judge
,,,Hon. Travis R. Williams,,Hon. Frederick G. Rockwell III,Presiding Judge
Clarke ,Hon. John Stanley Hart Jr.,Chief Judge,Hon. Daryl L. Funk,Presiding Judge,Hon. William W. Eldridge IV,Presiding Judge
,Hon. Mary Louise Costello Daniel,,Hon. Hugh David O'Donnell,Chief Judge,Hon. Alexander R. Iden,Presiding Judge
,Hon. W. Dale Houff,,Hon. Kimberly Marion Athey,,Hon. Brian M. Madden,Presiding Judge
,Hon. Amy B. Tisinger,,Hon. Anthony Wayne Bailey,,Hon. Clark Andrew Ritchie,Chief Judge
,,,Hon. Elizabeth Kellas Burton,,Hon. Bruce D. Albertson,
,,,Hon. Rachel E. Figura,,Hon. Kevin C. Black,
,,,Hon. Chad A. Logan,,Hon. William W. Sharp,
,,,,,Hon. Thomas J. Wilson IV,
Colonial Heights,Hon. Matthew Donald Nelson,"Presiding Judge, Chief Judge",Hon. Vanessa L Jones,"Presiding Judge, Chief Judge",Hon. Lynn S. Brice,Presiding Judge
,Hon. Keith Nelson Hurley,Presiding Judge,Hon. Duane Gregory Carr,Presiding Judge,Hon. Edward A. Robbins Jr.,Chief Judge
,Hon. James J. O'Connell III,Presiding Judge,Hon. Scott David Landry,Presiding Judge,Hon. David E. Johnson,
,Hon. Thomas L. Vaughn,Presiding Judge,Hon. Travis R. Williams,Presiding Judge,Hon. Steven C. McCallum,
,,,Hon. M. Duncan Minton Jr.,,Hon. Jayne Ann Pemberton,
,,,Hon. J. David Rigler,,Hon. Frederick G. Rockwell III,
Craig ,Hon. William Harrison Cleaveland,"Presiding Judge, Chief Judge",Hon. Paul A. Tucker,Presiding Judge,Hon. William Chapman Goodwin,Chief Judge
